No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,8,1 µF Decoupling Capacitor,C1 C2 C3 C4 C5 C6 C9 C10,C0603,,,,C?,LCSC
2,3,100 nF Decoupling Capacitor,C7 C8 C11,C0603,,,,C?,LCSC
3,2,5.1 kΩ Pull-Down Resistor,R1 R2,R0603,,,,C?,LCSC
4,4,56 kΩ Pull-Up Resistor,R3 R4 R5 R6,R0603,,,,C?,LCSC
5,1,SL2.1S USB Hub IC,U1,SSOP-16,SL2.1s,SL2.1s,CoreChips,C2684433,LCSC
6,3,USB Type-C 16PIN Receptacle,USB1 USB2 USB5,USB-C-SMD_TYPE-C-16PIN-2MD-073,TYPE-C 16PIN 2MD(073),TYPE-C 16PIN 2MD(073),SHOU HAN,C2765186,LCSC
7,2,USB Type-A 10.0 QHHTZB6.3 Receptacle,USB3 USB4,USB-A-TH_10.0QHHTZB6.3,10.0 QHHTZB6.3,10.0 QHHTZB6.3,SHOU HAN,C668591,LCSC
